# lang	url	revision	location
bash	https://github.com/tree-sitter/tree-sitter-bash	a06c2e4415e9bc0346c6b86d401879ffb44058f7	.
comment	https://github.com/stsewd/tree-sitter-comment	66272d2b6c73fb61157541b69dd0a7ce7b42a5ad	.
go	https://github.com/tree-sitter/tree-sitter-go	2346a3ab1bb3857b48b29d779a1ef9799a248cd7	.
html	https://github.com/tree-sitter/tree-sitter-html	73a3947324f6efddf9e17c0ea58d454843590cc0	.
javascript	https://github.com/tree-sitter/tree-sitter-javascript	58404d8cf191d69f2674a8fd507bd5776f46cb11	.
markdown	https://github.com/tree-sitter-grammars/tree-sitter-markdown	f969cd3ae3f9fbd4e43205431d0ae286014c05b5	tree-sitter-markdown
python	https://github.com/tree-sitter/tree-sitter-python	v0.25.0	.
rust	https://github.com/tree-sitter/tree-sitter-rust	77a3747266f4d621d0757825e6b11edcbf991ca5	.
terraform	https://github.com/MichaHoffmann/tree-sitter-hcl	64ad62785d442eb4d45df3a1764962dafd5bc98b	dialects/terraform
toml	https://github.com/tree-sitter-grammars/tree-sitter-toml	64b56832c2cffe41758f28e05c756a3a98d16f41	.
tsx	https://github.com/tree-sitter/tree-sitter-typescript	75b3874edb2dc714fb1fd77a32013d0f8699989f	tsx
typescript	https://github.com/tree-sitter/tree-sitter-typescript	75b3874edb2dc714fb1fd77a32013d0f8699989f	typescript
